"","trade_flow","reporter_code","reporter","partner_code","partner","commodity_code","netweight_kg","trade_value_usd","price_kg_usd","period_date"
"137","Imports",344,"China, Hong Kong SAR",76,"Brazil","160250",1106188,1661989,1.50244714280032,2014-04-01
"138","Imports",634,"Qatar",76,"Brazil","160250",3550,3542,0.997746478873239,2014-08-01
"139","Imports",818,"Egypt",76,"Brazil","160250",NA,831304,NA,2014-08-01
"140","Imports",818,"Egypt",76,"Brazil","160250",NA,1194442,NA,2015-04-01
"141","Imports",60,"Bermuda",76,"Brazil","160250",7,148,21.1428571428571,2014-08-01
"142","Imports",608,"Philippines",76,"Brazil","160250",74065,259384,3.50211300884358,2015-04-01
"143","Imports",702,"Singapore",76,"Brazil","160250",116052,515435,4.44141419363733,2014-08-01
"144","Imports",579,"Norway",76,"Brazil","160250",120,1112,9.26666666666667,2014-04-01
"145","Imports",480,"Mauritius",76,"Brazil","160250",39168,237375,6.06043198529412,2014-08-01
"146","Imports",68,"Bolivia",76,"Brazil","160250",103147,147516,1.43015308249392,2015-04-01
"147","Imports",392,"Japan",76,"Brazil","160250",734,5090,6.93460490463215,2014-04-01
"148","Imports",703,"Slovakia",76,"Brazil","160250",3159,20277,6.41880341880342,2014-04-01
"149","Imports",381,"Italy",76,"Brazil","160250",405815,3578766,8.81871296033907,2014-04-01
"150","Imports",752,"Sweden",76,"Brazil","160250",138000,861670,6.24398550724638,2014-04-01
"151","Imports",480,"Mauritius",76,"Brazil","160250",19584,119152,6.08415032679739,2015-04-01
"152","Imports",152,"Chile",76,"Brazil","160250",228161,1408972,6.17534109685704,2014-04-01
"153","Imports",84,"Belize",76,"Brazil","160250",46485,80658,1.7351403678606,2014-08-01
"154","Imports",686,"Senegal",76,"Brazil","160250",13989,3987,0.285009650439631,2014-04-01
"155","Imports",858,"Uruguay",76,"Brazil","160250",5076,6509,1.28230890464933,2014-08-01
"156","Imports",372,"Ireland",76,"Brazil","160250",6307,21148,3.35309973045822,2015-04-01
"157","Imports",344,"China, Hong Kong SAR",76,"Brazil","160250",673816,1056861,1.56847121469363,2014-08-01
"158","Imports",344,"China, Hong Kong SAR",76,"Brazil","160250",102760,287742,2.80013623978202,2015-10-01
"159","Imports",458,"Malaysia",76,"Brazil","160250",5002,9966,1.99240303878449,2014-08-01
"160","Imports",757,"Switzerland",76,"Brazil","160250",8414,89865,10.680413596387,2015-04-01
"161","Imports",752,"Sweden",76,"Brazil","160250",5000,27852,5.5704,2015-04-01
"162","Imports",304,"Greenland",76,"Brazil","160250",3,209,69.6666666666667,2015-04-01
