period,trade_value_usd,origin,destin,period_date
201404,406,New Zealand,"China, Hong Kong SAR",2014-04-01
201404,3385,Viet Nam,"China, Hong Kong SAR",2014-04-01
201404,864,Thailand,"China, Hong Kong SAR",2014-04-01
201404,46,United States of America,"China, Hong Kong SAR",2014-04-01
201408,14456,Azerbaijan,Russian Federation,2014-08-01
201408,9124,Armenia,Russian Federation,2014-08-01
201408,1394457,Belarus,Russian Federation,2014-08-01
201408,5634,China,Russian Federation,2014-08-01
201408,715,Czech Rep.,Russian Federation,2014-08-01
201408,71,Kazakhstan,Russian Federation,2014-08-01
201408,30003,Lithuania,Russian Federation,2014-08-01
201408,823925,Ukraine,Russian Federation,2014-08-01
201408,481,Uzbekistan,Russian Federation,2014-08-01
201504,21913,Hungary,Romania,2015-04-01
201504,49520,Italy,Romania,2015-04-01
201504,196155,Netherlands,Romania,2015-04-01
201504,13899,Poland,Romania,2015-04-01
201504,167146,Spain,Romania,2015-04-01
201504,298601,Turkey,Romania,2015-04-01
201408,387,Belgium,Qatar,2014-08-01
201408,1420,Germany,Qatar,2014-08-01
201408,56208,Jordan,Qatar,2014-08-01
201408,16055,Oman,Qatar,2014-08-01
201408,1215,Peru,Qatar,2014-08-01
201408,220053,Saudi Arabia,Qatar,2014-08-01
201408,3228,India,Qatar,2014-08-01
201408,982,Spain,Qatar,2014-08-01
201408,1782,Thailand,Qatar,2014-08-01
201504,41004,Bulgaria,Romania,2015-04-01
201504,158091,France,Romania,2015-04-01
201504,72324,Germany,Romania,2015-04-01
201504,392161,Greece,Romania,2015-04-01
201408,7016,Australia,Singapore,2014-08-01
201408,57,Germany,Singapore,2014-08-01
201408,6317,Japan,Singapore,2014-08-01
201408,778759,Malaysia,Singapore,2014-08-01
201408,1159,Netherlands,Singapore,2014-08-01
201408,31631,India,Singapore,2014-08-01
201408,64477,Thailand,Singapore,2014-08-01
201408,564,United States of America,Singapore,2014-08-01
201408,4978,United States of America,Bermuda,2014-08-01
201404,2373,Denmark,Norway,2014-04-01
201404,11602,Israel,Norway,2014-04-01
201404,346439,Netherlands,Norway,2014-04-01
201404,614,Poland,Norway,2014-04-01
201404,178133,Spain,Norway,2014-04-01
201404,4523,Sweden,Norway,2014-04-01
201404,7494,Turkey,Norway,2014-04-01
201404,432,Austria,Hungary,2014-04-01
201404,25717,Croatia,Hungary,2014-04-01
201404,5448,Czech Rep.,Hungary,2014-04-01
201404,167,France,Hungary,2014-04-01
201404,371906,Germany,Hungary,2014-04-01
201404,997,Netherlands,Hungary,2014-04-01
201404,120,Poland,Hungary,2014-04-01
201404,10052,Slovakia,Hungary,2014-04-01
201404,834137,Spain,Hungary,2014-04-01
201504,504,Austria,Hungary,2015-04-01
201504,428014,Germany,Hungary,2015-04-01
201504,57577,Italy,Hungary,2015-04-01
201504,42066,Netherlands,Hungary,2015-04-01
201504,10455,Slovakia,Hungary,2015-04-01
201504,562322,Spain,Hungary,2015-04-01
201504,1604,Turkey,Hungary,2015-04-01
201408,15750,South Africa,Mozambique,2014-08-01
201504,10291,Australia,Malaysia,2015-04-01
201504,347,Bangladesh,Malaysia,2015-04-01
201504,24,France,Malaysia,2015-04-01
201504,143,Japan,Malaysia,2015-04-01
201504,1693,Viet Nam,Malaysia,2015-04-01
201504,3985,China,Malaysia,2015-04-01
201504,2113,"China, Hong Kong SAR",Malaysia,2015-04-01
201504,566,Iran,Malaysia,2015-04-01
201504,314132,Thailand,Malaysia,2015-04-01
201504,225,Netherlands,Malaysia,2015-04-01
201504,1789,Turkey,Malaysia,2015-04-01
201504,288,United States of America,Malaysia,2015-04-01
201404,20827,Greece,Cyprus,2014-04-01
201404,774,United Kingdom,Cyprus,2014-04-01
201404,304,Dominica,Montserrat,2014-04-01
201408,444,New Zealand,Fiji,2014-08-01
201408,198,Australia,Indonesia,2014-08-01
201408,266,Rep. of Korea,Indonesia,2014-08-01
201408,8891,China,Kazakhstan,2014-08-01
201408,1723,Kyrgyzstan,Kazakhstan,2014-08-01
201408,418,Russian Federation,Kazakhstan,2014-08-01
201408,33136,Uzbekistan,Kazakhstan,2014-08-01
201404,9112,Austria,Italy,2014-04-01
201404,1757,Belgium,Italy,2014-04-01
201404,2786,Croatia,Italy,2014-04-01
201404,5223,Czech Rep.,Italy,2014-04-01
201404,14842,France,Italy,2014-04-01
201404,145321,Germany,Italy,2014-04-01
201404,26848,Netherlands,Italy,2014-04-01
201404,173,Slovenia,Italy,2014-04-01
201404,1685378,Spain,Italy,2014-04-01
201504,1212,Spain,Cabo Verde,2015-04-01
201504,101,Antigua and Barbuda,Montserrat,2015-04-01
201504,351,Dominica,Montserrat,2015-04-01
201504,55,Saint Kitts and Nevis,Montserrat,2015-04-01
201504,493152,Albania,Serbia,2015-04-01
201504,4622,France,Serbia,2015-04-01
201504,193004,Greece,Serbia,2015-04-01
201504,33537,Italy,Serbia,2015-04-01
201504,1080,Netherlands,Serbia,2015-04-01
201504,650,Poland,Serbia,2015-04-01
201504,122532,Spain,Serbia,2015-04-01
201504,21000,Turkey,Serbia,2015-04-01
201504,371174,TFYR of Macedonia,Serbia,2015-04-01
201504,22,Indonesia,Singapore,2015-04-01
201504,3900,Japan,Singapore,2015-04-01
201504,108,Rep. of Korea,Singapore,2015-04-01
201504,1369,Netherlands,Singapore,2015-04-01
201504,68274,Thailand,Singapore,2015-04-01
201504,2641,Australia,Singapore,2015-04-01
201504,111,France,Singapore,2015-04-01
201504,773357,Malaysia,Singapore,2015-04-01
201504,31017,India,Singapore,2015-04-01
201504,831,United States of America,Singapore,2015-04-01
201408,25,Italy,Thailand,2014-08-01
201408,21036,United States of America,Aruba,2014-08-01
201408,13207,Venezuela,Aruba,2014-08-01
201408,17004,Austria,Poland,2014-08-01
201408,44,Ecuador,Poland,2014-08-01
201408,539706,Germany,Poland,2014-08-01
201408,102368,Hungary,Poland,2014-08-01
201408,18,Italy,Poland,2014-08-01
201408,1340,Netherlands,Poland,2014-08-01
201408,90345,Romania,Poland,2014-08-01
201408,376,Spain,Poland,2014-08-01
201408,26791,Czech Rep.,Poland,2014-08-01
201408,22212,Serbia,Poland,2014-08-01
201504,431,Denmark,Ireland,2015-04-01
201504,7273,France,Ireland,2015-04-01
201504,1882,Germany,Ireland,2015-04-01
201504,16697,Lithuania,Ireland,2015-04-01
201504,210631,Netherlands,Ireland,2015-04-01
